Date,state_0_filtered_probability,state_1_filtered_probability,state_2_filtered_probability
2025-07-19,4.717911307258244e-246,1.0,2.26836375832199e-14
2025-07-20,3.025411509851011e-249,1.0,2.0885296151619026e-14
2025-07-21,6.551060499411635e-255,1.0,1.3290782768717825e-14
2025-07-22,2.4234041830469832e-260,1.0,8.791749562138328e-14
2025-07-23,1.608333966855689e-259,1.0,6.470806743236695e-14
2025-07-24,8.959746485315659e-265,1.0,4.007273881346075e-14
2025-07-25,7.673637262297086e-266,1.0,4.510337761214391e-14
2025-07-26,9.440371222253663e-267,1.0,5.1249422818886244e-14
2025-07-27,1.6872310033830345e-275,1.0,6.043059690597766e-15
2025-07-28,2.0514969289954113e-270,1.0,9.084330901146353e-15
2025-07-29,8.407329766745841e-276,1.0,9.41806813615019e-14
2025-07-30,2.7456878582699155e-289,0.999999999998181,2.6906533543432875e-12
2025-07-31,1.1015500725391431e-277,0.9999998678740755,1.321258088567336e-07
2025-08-01,1.4762968297892687e-242,8.500599759563538e-05,0.9999149940020029
2025-08-02,4.331188346353946e-237,8.125308360916654e-07,0.9999991874686774
2025-08-03,4.990319803451559e-238,0.0014016299859263622,0.9985983700136656
2025-08-04,5.038390480201462e-227,0.9998902585314664,0.0001097414689420273
2025-08-05,5.593645355389159e-234,0.9999925811937446,7.418806997436931e-06
2025-08-06,2.2022830310027449e-234,0.9999997987397566,2.0126094430699537e-07
2025-08-07,2.416704961558704e-229,0.9999999491155918,5.0883597975423324e-08
2025-08-08,1.3117127324762322e-227,0.9999999959873094,4.0134346633285396e-09
2025-08-09,4.010033849100337e-228,0.99999999587817,4.121549271414807e-09
2025-08-10,7.196656336809832e-224,0.9999999981901055,1.8100161445929159e-09
2025-08-11,7.081182742389397e-231,0.9999999685442167,3.1455253318419634e-08
2025-08-12,3.96638314686002e-222,0.999999995710823,4.289130240975206e-09
2025-08-13,3.340613730218639e-217,0.9999999932406354,6.7596669093034165e-09
