Date,regime,portfolio_beta_to_spy,rolling_beta_20,rolling_beta_60
2025-11-03,normal,0.2698308769767395,0.2630239523511339,0.2596204900383311
2025-11-04,normal,0.2698308769767395,0.26302395235113385,0.2596204900383311
2025-11-05,normal,0.2698308769767395,0.2647256835075353,0.26018773375713156
2025-11-06,normal,0.2698308769767395,0.26472568350753534,0.260754977475932
2025-11-07,bull,0.2357962538487114,0.26302395235113385,0.26018773375713156
2025-11-10,bull,0.2357962538487114,0.2613222211947325,0.25962049003833104
2025-11-11,bull,0.2357962538487114,0.2596204900383311,0.25962049003833104
2025-11-12,normal,0.2698308769767395,0.2596204900383311,0.2596204900383311
2025-11-13,normal,0.2698308769767395,0.2596204900383311,0.2596204900383311
2025-11-14,normal,0.2698308769767395,0.2596204900383311,0.2596204900383311
2025-11-17,normal,0.2698308769767395,0.2596204900383311,0.25962049003833104
2025-11-18,normal,0.2698308769767395,0.2596204900383311,0.2596204900383311
2025-11-19,normal,0.2698308769767395,0.2596204900383311,0.2596204900383311
2025-11-20,crisis,0.21695230318970155,0.2586782925053806,0.25873918047521377
2025-11-21,normal,0.2698308769767395,0.26038002366178203,0.25930642419401423
2025-11-24,normal,0.2698308769767395,0.2620817548181834,0.25930642419401423
2025-11-25,normal,0.2698308769767395,0.2620817548181834,0.2593064241940143
2025-11-26,normal,0.2698308769767395,0.2620817548181834,0.25987366791281474
2025-11-28,normal,0.2698308769767395,0.2620817548181834,0.2604409116316152
2025-12-01,normal,0.2698308769767395,0.2620817548181834,0.26100815535041566
2025-12-02,normal,0.2698308769767395,0.2620817548181834,0.26100815535041566
2025-12-03,normal,0.2698308769767395,0.2620817548181834,0.2615753990692161
2025-12-04,normal,0.2698308769767395,0.2620817548181834,0.2615753990692161
2025-12-05,bull,0.2357962538487114,0.260380023661782,0.26100815535041566
2025-12-08,normal,0.2698308769767395,0.2620817548181834,0.26100815535041566
2025-12-09,normal,0.2698308769767395,0.2637834859745848,0.26100815535041566
2025-12-10,normal,0.2698308769767395,0.2654852171309862,0.26100815535041566
2025-12-11,normal,0.2698308769767395,0.2654852171309862,0.2615753990692161
2025-12-12,normal,0.2698308769767395,0.2654852171309862,0.26214264278801663
2025-12-15,normal,0.2698308769767395,0.2654852171309862,0.2627098865068171
2025-12-16,bull,0.2357962538487114,0.26378348597458484,0.2621426427880166
2025-12-17,normal,0.2698308769767395,0.2637834859745848,0.2621426427880166
2025-12-18,bull,0.2357962538487114,0.2620817548181834,0.2621426427880166
2025-12-19,bull,0.2357962538487114,0.2630239523511339,0.2615753990692161
2025-12-22,bull,0.2357962538487114,0.2613222211947325,0.2615753990692161
2025-12-23,bull,0.2357962538487114,0.2596204900383311,0.26100815535041566
2025-12-24,bull,0.2357962538487114,0.25791875888192967,0.2604409116316152
2025-12-26,normal,0.2698308769767395,0.25791875888192967,0.2604409116316152
2025-12-29,normal,0.2698308769767395,0.2579187588819297,0.2604409116316152
2025-12-30,normal,0.2698308769767395,0.25791875888192967,0.2604409116316152
2025-12-31,normal,0.2698308769767395,0.2579187588819297,0.26100815535041566
2026-01-02,normal,0.2698308769767395,0.25791875888192967,0.26100815535041566
2026-01-05,normal,0.2698308769767395,0.2579187588819297,0.2615753990692161
2026-01-06,normal,0.2698308769767395,0.2596204900383311,0.2615753990692161
2026-01-07,normal,0.2698308769767395,0.2596204900383311,0.2615753990692161
2026-01-08,normal,0.2698308769767395,0.2596204900383311,0.2615753990692161
2026-01-09,normal,0.2698308769767395,0.2596204900383311,0.2615753990692161
